Designator,Mid X,Mid Y,Rotation,Layer
D1,115.85,-46.5525,270.0,bottom
D10,134.85,-84.5525,270.0,bottom
D11,153.85,-84.5525,270.0,bottom
D12,172.85,-84.5525,270.0,bottom
D13,90.85,-82.5525,180.0,bottom
D2,134.85,-46.5525,270.0,bottom
D3,153.85,-46.5525,270.0,bottom
D4,172.85,-46.5525,270.0,bottom
D5,115.85,-65.5525,270.0,bottom
D6,134.85,-65.5525,270.0,bottom
D7,153.85,-65.5525,270.0,bottom
D8,172.85,-65.5525,270.0,bottom
D9,115.85,-84.5525,270.0,bottom
J1,61.35,-23.4325,0.0,top
LED0,106.375,-57.84,0.0,top
LED1,125.425,-57.84,0.0,top
LED10,144.475,-95.94,0.0,top
LED11,163.525,-95.94,0.0,top
LED12,87.325,-95.94,0.0,top
LED13,83.35,-77.5525,0.0,top
LED14,91.35,-77.5525,0.0,top
LED2,146.8562,-57.84,0.0,top
LED3,163.525,-57.84,0.0,top
LED4,106.375,-76.89,0.0,top
LED5,125.425,-76.89,0.0,top
LED6,144.475,-76.89,0.0,top
LED7,163.525,-76.89,0.0,top
LED8,106.375,-95.94,0.0,top
LED9,125.425,-95.94,0.0,top
S1,106.375,-53.0775,0.0,top
S10,125.425,-91.1775,0.0,top
S11,144.475,-91.1775,0.0,top
S12,163.525,-91.1775,0.0,top
S13,87.325,-91.1775,0.0,top
S2,125.425,-53.0775,0.0,top
S3,144.475,-53.0775,0.0,top
S4,163.525,-53.0775,0.0,top
S5,106.375,-72.1275,0.0,top
S6,125.425,-72.1275,0.0,top
S7,144.475,-72.1275,0.0,top
S8,163.525,-72.1275,0.0,top
S9,106.375,-91.1775,0.0,top
SW1,118.45,-30.4525,0.0,top
SW2,137.3,-30.4525,0.0,top
SW3,102.85,-34.0525,0.0,top
U1,80.8162,-47.5213,0.0,top
