Designator,Mid X,Mid Y,Rotation,Layer
D1,115.1326,-46.4966,270.0,bottom
D10,134.1326,-84.4966,270.0,bottom
D11,153.1326,-84.4966,270.0,bottom
D12,172.1326,-84.4966,270.0,bottom
D13,90.1326,-82.4966,180.0,bottom
D2,134.1326,-46.4966,270.0,bottom
D3,153.1326,-46.4966,270.0,bottom
D4,172.1326,-46.4966,270.0,bottom
D5,115.1326,-65.4966,270.0,bottom
D6,134.1326,-65.4966,270.0,bottom
D7,153.1326,-65.4966,270.0,bottom
D8,172.1326,-65.4966,270.0,bottom
D9,115.1326,-84.4966,270.0,bottom
J1,60.6326,-23.3766,0.0,top
LED0,105.6576,-57.7841,0.0,top
LED1,124.7076,-57.7841,0.0,top
LED10,143.7576,-95.8841,0.0,top
LED11,162.8076,-95.8841,0.0,top
LED12,86.6076,-95.8841,0.0,top
LED13,82.6326,-77.4966,0.0,top
LED14,90.6326,-77.4966,0.0,top
LED2,146.1388,-57.7841,0.0,top
LED3,162.8076,-57.7841,0.0,top
LED4,105.6576,-76.8341,0.0,top
LED5,124.7076,-76.8341,0.0,top
LED6,143.7576,-76.8341,0.0,top
LED7,162.8076,-76.8341,0.0,top
LED8,105.6576,-95.8841,0.0,top
LED9,124.7076,-95.8841,0.0,top
S1,105.6576,-53.0216,0.0,top
S10,124.7076,-91.1216,0.0,top
S11,143.7576,-91.1216,0.0,top
S12,162.8076,-91.1216,0.0,top
S13,86.6076,-91.1216,0.0,top
S2,124.7076,-53.0216,0.0,top
S3,143.7576,-53.0216,0.0,top
S4,162.8076,-53.0216,0.0,top
S5,105.6576,-72.0716,0.0,top
S6,124.7076,-72.0716,0.0,top
S7,143.7576,-72.0716,0.0,top
S8,162.8076,-72.0716,0.0,top
S9,105.6576,-91.1216,0.0,top
SW1,117.7326,-30.3966,0.0,top
SW2,136.5826,-30.3966,0.0,top
SW3,102.1326,-33.9966,0.0,top
U1,80.0988,-47.4654,0.0,top
